CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,AgeGroup,IsZeroBalance,CreditScoreRating,HasMultipleProduct,BalanceSalaryRatio,TenureAgeRatio,CreditScoreAgeRatio,EstimatedMonthlySalary,AgeBalanceInteraction,ProductDensity,LoyalityScore,WealthSignifier,TenureRiskGroup,MidTierDanger,GermanPassiveWealth,HighRiskGermanCohort,BalancePerProduct,CardButInactive,CardAndActive,TeenZeroBalance,ActiveZeroBalance,Female_Germany
619,France,Female,42,2,0.0,1,1,1,101348.88,1,Mid-age,0,Fair,0,0.0,0.047619047619047616,14.738095238095237,8445.74,0.0,0.5,2,0,Early_HighRisk,0,0,0,0.0,0,1,0,1,0
608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,Mid-age,1,Fair,1,0.7446769036217226,0.024390243902439025,14.829268292682928,9378.548333333334,3436122.2600000002,1.0,1,0,Early_HighRisk,0,0,0,83807.86,0,0,0,0,0
502,France,Female,42,8,159660.8,3,1,0,113931.57,1,Mid-age,1,Poor,1,1.4013745268322026,0.19047619047619047,11.952380952380953,9494.2975,6705753.6,0.375,0,1,Mid_Stable,0,0,0,53220.26666666666,1,0,0,0,0
699,France,Female,39,1,0.0,2,0,0,93826.63,0,Mid-age,0,Good,0,0.0,0.02564102564102564,17.923076923076923,7818.885833333334,0.0,2.0,0,0,Early_HighRisk,0,0,0,0.0,0,0,0,0,0
850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,Mid-age,1,Excellent,1,1.5870550464631954,0.046511627906976744,19.767441860465116,6590.341666666667,5396965.260000001,0.5,2,0,Early_HighRisk,1,0,0,125510.82,0,1,0,0,0
645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,Mid-age,1,Fair,1,0.7596038935417319,0.18181818181818182,14.659090909090908,12479.725833333332,5005254.32,0.25,0,1,Mid_Stable,1,0,0,56877.89,1,0,0,0,0
822,France,Male,50,7,0.0,2,1,1,10062.8,0,Mid-age,0,Excellent,0,0.0,0.14,16.44,838.5666666666666,0.0,0.2857142857142857,7,0,Mid_Stable,0,0,0,0.0,0,1,0,1,0
376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,Young,1,Poor,1,0.9639693974404694,0.13793103448275862,12.96551724137931,9945.573333333334,3336355.46,1.0,0,1,Mid_Stable,1,1,0,28761.685,1,0,0,0,1
501,France,Male,44,4,142051.07,2,0,1,74940.5,0,Mid-age,1,Poor,1,1.8955180443151567,0.09090909090909091,11.386363636363637,6245.041666666667,6250247.08,0.5,4,0,Mid_Stable,1,0,0,71025.535,0,0,0,0,0
684,France,Male,27,2,134603.88,1,1,1,71725.73,0,Young,1,Good,1,1.876647055387237,0.07407407407407407,25.333333333333332,5977.144166666666,3634304.7600000002,0.5,2,0,Early_HighRisk,1,0,0,134603.88,0,1,0,0,0
528,France,Male,31,6,102016.72,2,0,0,80181.12,0,Young,1,Poor,1,1.2723284483928388,0.1935483870967742,17.032258064516128,6681.759999999999,3162518.32,0.3333333333333333,0,0,Mid_Stable,1,0,0,51008.36,0,0,0,0,0
497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,Young,0,Poor,0,0.0,0.125,20.708333333333332,6365.8341666666665,0.0,0.6666666666666666,0,0,Mid_Stable,0,0,0,0.0,1,0,0,0,0
476,France,Female,34,10,0.0,2,1,0,26260.98,0,Young,0,Poor,0,0.0,0.29411764705882354,14.0,2188.415,0.0,0.2,0,0,Late_HighRisk,0,0,0,0.0,1,0,0,0,0
